column,unique_count,top,top_count,unique_preview,dtype
PreRlessfruit,3,Sometimes,183,"Sometimes, Usually/Often, Rarely/ Never",object
PreRdrink,3,Sometimes,148,"Sometimes, Rarely/ Never, Usually/Often",object
PreRpopcorn,3,Sometimes,154,"Sometimes, Rarely/ Never, Usually/Often",object
PreRsweet,3,Sometimes,192,"Sometimes, Usually/Often, Rarely/ Never",object
PostRgroupname,2,1.0,3599,"1.0, 2.0",float64
PreRallastmonth,2,No,478,"No, Yes",object
PreRgender,2,Female,282,"Male, Female",object
PreRarea,2,Urban,339,"Urban, Rural",object
PreRalcoholuse,2,No,465,"No, Yes",object
PreRalthreemonths,2,No,473,"No, Yes",object
PreRtobcurrent,2,No,448,"No, Yes",object
PreRstouse,2,No,458,"No, Yes",object
PreRstodaily,2,No,463,"No, Yes",object
PreRtobdailyuse,2,No,468,"No, Yes",object
PreRdiabrother,2,No,484,"No, Yes",object
PreRcurrentworking,2,No,336,"Yes, No",object
PreRdiafather,2,No,454,"No, Yes",object
PreRdiamother,2,No,466,"No, Yes",object
PreRtobuse,2,No,456,"No, Yes",object
PreRdiasister,2,No,487,"No, Yes",object
PreRtobdaily,2,No,466,"No, Yes",object
PreRstocurrent,1,Yes,42,Yes,object
