column,unique_count,top,top_count,unique_preview,dtype
PreRmeat,3,Sometimes,210,"Sometimes, Rarely/ Never, Usually/Often",object
PreRlessfruit,3,Sometimes,263,"Sometimes, Usually/Often, Rarely/ Never",object
PreRfriedfood,3,Sometimes,235,"Usually/Often, Rarely/ Never, Sometimes",object
PreRpopcorn,3,Sometimes,187,"Rarely/ Never, Sometimes, Usually/Often",object
PreRlessvegetable,3,Sometimes,182,"Usually/Often, Sometimes, Rarely/ Never",object
PostRgroupname,2,1,309,"2, 1",int64
PreRdiafather,2,0,479,"0, 1",int64
PreRcurrentworking,2,0,353,"1, 0",int64
PreRgender,2,Female,282,"Female, Male",object
PreRarea,2,Urban,313,"Urban, Rural",object
PreRtobuse,2,0.0,502,"0.0, 1.0",float64
PreRdiasister,2,0,517,"0, 1",int64
PreRdiabrother,2,0,506,"0, 1",int64
PreRdiamother,2,0,503,"0, 1",int64
PreRstocurrent,2,0,481,"0, 1",int64
PhysicalActivity_Optimal,2,No,363,"Yes, No",object
PreRstouse,2,0,473,"0, 1",int64
PreRtobdailyuse,2,0,492,"0, 1",int64
PreRalthreemonths,2,0,509,"0, 1",int64
PreRtobdaily,2,0.0,504,"0.0, 1.0",float64
PreRallastmonth,2,0,511,"0, 1",int64
PreRstodaily,2,0,481,"0, 1",int64
PreRtobcurrent,2,0,482,"0, 1",int64
PreRalcoholuse,2,0,503,"0, 1",int64
Duration_Status,2,newly diagnosed,509,"newly diagnosed, known diabetes",object
PreRstodailyuse,1,0.0,104,0.0,float64
