column,unique_count,top,top_count,unique_preview,dtype
PreRfriedfood,3,Sometimes,421,"Sometimes, Rarely/ Never, Usually/Often",object
PreRlessfiber,3,Sometimes,379,"Rarely/ Never, Sometimes, Usually/Often",object
PreRlessvegetable,3,Usually/Often,403,"Usually/Often, Sometimes, Rarely/ Never",object
PreRsweet,3,Rarely/ Never,416,"Rarely/ Never, Sometimes, Usually/Often",object
PreRdrink,3,Rarely/ Never,440,"Usually/Often, Sometimes, Rarely/ Never",object
PreRlessfruit,3,Sometimes,438,"Rarely/ Never, Sometimes, Usually/Often",object
PreRpopcorn,3,Rarely/ Never,373,"Sometimes, Rarely/ Never, Usually/Often",object
PreRmilk,3,Sometimes,354,"Rarely/ Never, Sometimes, Usually/Often",object
PostRgroupname,2,1,551,"2, 1",int64
PreRarea,2,Urban,568,"Urban, Rural",object
PreRalthreemonths,2,No,806,"No, Yes",object
PreRallastmonth,2,No,808,"No, Yes",object
PreRalcoholuse,2,No,785,"No, Yes",object
PreRcurrentworking,2,No,467,"Yes, No",object
PreRdiafather,2,No,673,"No, Yes",object
PreRdiamother,2,No,671,"Yes, No",object
PreRdiasister,2,No,754,"No, Yes",object
PreRtobcurrent,2,No,735,"No, Yes",object
PreRtobdaily,2,No,825,"No, Yes",object
PreRtobuse,2,No,796,"No, Yes",object
PreRstodaily,2,No,761,"No, Yes",object
PreRstouse,2,No,743,"No, Yes",object
PreRtobdailyuse,2,No,768,"No, Yes",object
PreRstocurrent,2,No,774,"No, Yes",object
PreRdiabrother,2,No,718,"Yes, No",object
